Material,Time lapse,First Derivative
38-1482-03,368.602507,-0.05999880002405051
38-1482-03,368.619434,0.0
38-1482-03,368.6361,0.0
38-1482-03,368.652767,0.0
38-1482-03,368.669434,-0.059998800023859204
38-1482-03,368.6861,0.12000480019210481
38-1482-03,368.702767,-0.11999760004811434
38-1482-03,368.719434,0.11999760004811434
38-1482-03,368.7361,0.0
38-1482-03,368.752767,-0.05999880002405051
38-1482-03,368.769434,-0.11999760004811434
38-1482-03,368.7861,0.060002400096045745
38-1482-03,368.802767,-0.05999880002384588
38-1482-03,368.819434,0.17999640007216486
38-1482-03,368.8361,-0.060002400096045745
38-1482-03,368.852767,0.0
38-1482-03,368.869434,0.05999880002384588
38-1482-03,368.886393,0.05896574090459066
38-1482-03,368.90306,-0.11999760004811434
38-1482-03,368.919727,0.11999760004770509
38-1482-03,368.936393,-0.12000480019210481
38-1482-03,368.95306,0.05999880002405051
38-1482-03,368.969727,-0.05999880002405051
38-1482-03,368.986393,0.060002400095841096
38-1482-03,369.00306,-0.05999880002405051
38-1482-03,369.019727,-0.05999880002406383
38-1482-03,369.036393,0.12000480019210481
38-1482-03,369.05306,0.059998800023859204
38-1482-03,369.069727,0.05999880002405051
38-1482-03,369.086393,-0.12000480019210481
38-1482-03,369.10306,0.059998800023859204
38-1482-03,369.119727,0.0
38-1482-03,369.136393,-0.06000240009605907
38-1482-03,369.15332,0.05907721391856441
38-1482-03,369.169987,-0.05999880002406383
38-1482-03,369.186654,-0.05999880002405051
38-1482-03,369.20332,0.060002400095841096
38-1482-03,369.219987,-0.05999880002405051
38-1482-03,369.236654,0.05999880002405051
38-1482-03,369.25332,-0.24000960038420963
38-1482-03,369.269987,0.29999400011926936
38-1482-03,369.286654,-0.11999760004811434
38-1482-03,369.30332,0.0
38-1482-03,369.319987,0.05999880002384588
38-1482-03,369.336654,0.0
38-1482-03,369.35332,0.0
38-1482-03,369.369987,-0.05999880002405051
38-1482-03,369.386654,0.11999760004770509
38-1482-03,369.40332,0.0
38-1482-03,369.42028,0.0
38-1482-03,369.436947,0.0
38-1482-03,369.453613,0.0
38-1482-03,369.47028,0.0
38-1482-03,369.486947,0.05999880002405051
38-1482-03,369.503613,0.0
38-1482-03,369.52028,-0.05999880002384588
38-1482-03,369.536947,0.05999880002405051
38-1482-03,369.553613,-0.060002400096045745
38-1482-03,369.57028,0.05999880002384588
38-1482-03,369.586947,-0.11999760004811434
38-1482-03,369.603613,0.12000480019210481
38-1482-03,369.62028,0.0
38-1482-03,369.636947,0.0
38-1482-03,369.653613,0.0
38-1482-03,369.67028,0.11999760004811434
38-1482-03,369.687207,-0.2363088556742314
38-1482-03,369.703874,0.17999640007217818
38-1482-03,369.72054,-0.06000240009585442
38-1482-03,369.737207,0.05999880002406383
38-1482-03,369.753874,-0.05999880002406383
38-1482-03,369.77054,-0.12000480019210481
38-1482-03,369.787207,0.11999760004770509
38-1482-03,369.803874,0.0
38-1482-03,369.82054,0.12000480019210481
38-1482-03,369.837207,-0.05999880002405051
38-1482-03,369.853874,0.05999880002384588
38-1482-03,369.853874,
38-1482-03,369.87054,-0.060002400096045745
38-1482-03,369.887207,-0.05999880002406383
38-1482-03,369.903874,0.05999880002406383
